suite,id,tp,fp,fn,pass,detail
pii,email_1,1,0,0,True,EMAIL:email_structure
pii,email_2,1,0,0,True,EMAIL:email_structure
pii,email_3,1,0,0,True,EMAIL:email_structure
pii,email_neg_1,0,0,0,True,
pii,phone_1,1,0,0,True,PHONE:ownership_raw_phone_fallback
pii,phone_2,1,0,0,True,PHONE:ownership_raw_phone_fallback
pii,phone_3,1,0,0,True,PHONE:phone_context
pii,phone_4,1,0,0,True,PHONE:phone_context
pii,phone_neg_order,0,0,0,True,
pii,phone_neg_txn,0,0,0,True,
pii,phone_neg_short,0,0,0,True,
pii,pan_1,1,0,0,True,PAN:pan_structure+pan_context
pii,pan_2,1,0,0,True,PAN:pan_structure+pan_context
pii,pan_neg,0,0,0,True,
pii,ifsc_1,1,0,0,True,IFSC:ownership_raw_ifsc_fallback+strict_normalized_support
pii,ifsc_2,1,0,0,True,IFSC:ifsc_canonical
pii,ifsc_neg,0,0,0,True,
pii,upi_1,1,0,0,True,UPI:known_upi_handle
pii,upi_2,1,0,0,True,UPI:known_upi_handle
pii,upi_3,1,0,0,True,UPI:upi_context
pii,upi_neg_email,1,0,0,True,EMAIL:email_structure
pii,card_1,1,0,0,True,CARD:luhn_valid+card_context
pii,card_2,1,0,0,True,CARD:luhn_valid+card_context
pii,card_3,1,0,0,True,CARD:luhn_valid_without_ownership
pii,card_neg_luhn,0,0,0,True,
pii,aadhaar_1,1,0,0,True,AADHAAR:verhoeff_valid
pii,aadhaar_2,1,0,0,True,AADHAAR:verhoeff_valid
pii,aadhaar_context_synth,1,0,0,True,AADHAAR:aadhaar_context_checksum_unverified
pii,aadhaar_neg,0,0,0,True,
pii,account_1,1,0,0,True,ACCOUNT_NUMBER:account_context
pii,account_2,1,0,0,True,ACCOUNT_NUMBER:account_context
pii,account_neg,0,0,0,True,
pii,otp_1,1,0,0,True,OTP:otp_context
pii,otp_2,1,0,0,True,OTP:otp_context
pii,otp_neg_amount,0,0,0,True,
pii,otp_neg_year,0,0,0,True,
pii,cvv_1,1,0,0,True,CVV:cvv_context
pii,cvv_2,1,0,0,True,CVV:cvv_context
pii,cvv_neg,0,0,0,True,
pii,pin_1,1,0,0,True,PINCODE:ownership_raw_pincode_fallback
pii,pin_2,1,0,0,True,PINCODE:postal_context
pii,pin_neg,0,0,0,True,
pii,dob_1,1,0,0,True,DOB:dob_context
pii,dob_2,1,0,0,True,DOB:dob_context
pii,dob_neg,0,0,0,True,
pii,name_1,1,0,0,True,NAME:token_bounded_name_context
pii,name_2,1,0,0,True,NAME:token_bounded_name_context
pii,name_neg,0,0,0,True,
pii,address_1,1,0,0,True,ADDRESS:structured_clause_address
pii,address_2,1,0,0,True,ADDRESS:structured_clause_address
pii,address_3,1,0,0,True,ADDRESS:structured_clause_address
pii,address_neg_explain,0,0,0,True,
pii,address_neg_generic,0,0,0,True,
pii,mixed_1,2,0,0,True,PAN:pan_structure+pan_context;PHONE:phone_context
pii,mixed_2,2,0,0,True,EMAIL:email_structure;UPI:known_upi_handle
pii,spoken_email,1,0,0,True,EMAIL:spoken_email_multilevel
pii,spoken_phone,1,0,0,True,PHONE:spoken_phone_context
pii,spoken_otp,1,0,0,True,OTP:spoken_otp_context
pii,spoken_cvv,1,0,0,True,CVV:spoken_cvv_context
pii,spoken_neg_amount,0,0,0,True,
pii,hard_neg_case,0,0,0,True,
pii,hard_neg_employee,0,0,0,True,
pii,hard_neg_tracking,0,0,0,True,
pii,hard_neg_token,0,0,0,True,
pii,hard_neg_request,0,0,0,True,
pii,hard_neg_amount6,0,0,0,True,
pii,hard_neg_branchcode,0,0,0,True,
pii,hard_neg_property,0,0,0,True,
pii,hard_neg_office,0,0,0,True,
pii,hard_phone_reach,1,0,0,True,PHONE:ownership_raw_phone_fallback
pii,hard_phone_ring,1,0,0,True,PHONE:phone_context
pii,hard_otp_login,1,0,0,True,OTP:otp_context
pii,passport_ctx,1,0,0,True,PASSPORT:ownership_raw_passport_fallback
pii,passport_neg_ref,0,0,0,True,
pii,voter_ctx,1,0,0,True,VOTER_ID:voter_id_context_structure
pii,voter_neg_product,0,0,0,True,
pii,dl_ctx,1,0,0,True,DRIVING_LICENSE:driving_license_context_structure
pii,dl_neg_code,0,0,0,True,
pii,phone_neg_complaint,0,0,0,True,
pii,phone_pos_whatsapp,1,0,0,True,PHONE:phone_context
pii,ifsc_hyphen,1,0,0,True,IFSC:ownership_raw_ifsc_fallback+strict_normalized_support
pii,ifsc_space,1,0,0,True,IFSC:ownership_raw_ifsc_fallback+strict_normalized_support
pii,ifsc_hyphen_negative_ref,0,0,0,True,
pii,spoken_email_multilevel,1,0,0,True,EMAIL:spoken_email_multilevel
pii,dob_natural,1,0,0,True,DOB:natural_language_dob
pii,dob_natural_negative,0,0,0,True,
pii,name_boundary,2,0,0,True,NAME:token_bounded_name_context;ACCOUNT_NUMBER:account_context
pii,address_boundary,2,0,0,True,ADDRESS:structured_clause_address;PHONE:ownership_raw_phone_fallback
pii,ifsc_spoken,1,0,0,True,IFSC:spoken_ifsc_normalized
pii,ifsc_spoken_neg_ref,0,0,0,True,
pii,spoken_phone_punctuated,1,0,0,True,PHONE:spoken_phone_context
profanity,p1,1,0,0,True,fuck
profanity,p2,1,0,0,True,fuck
profanity,p3,1,0,0,True,shit
profanity,p4,1,0,0,True,shit
profanity,p5,1,0,0,True,bitch
profanity,p6,1,0,0,True,bitch
profanity,p7,1,0,0,True,asshole
profanity,p8,1,0,0,True,bastard
profanity,p9,1,0,0,True,madarchod
profanity,p10,1,0,0,True,bhenchod
profanity,p11,1,0,0,True,chutiya
profanity,p12,1,0,0,True,harami
profanity,p13,1,0,0,True,fuck
profanity,p14,1,0,0,True,shit
profanity,pn1,0,0,0,True,
profanity,pn2,0,0,0,True,
profanity,pn3,0,0,0,True,
profanity,pn4,0,0,0,True,
profanity,pn5,0,0,0,True,
profanity,pn6,0,0,0,True,
profanity,pn7,0,0,0,True,
profanity,pn8,0,0,0,True,
profanity,pn9,0,0,0,True,
profanity,pn10,0,0,0,True,
profanity,p15,1,0,0,True,gandu
profanity,p16,1,0,0,True,bakchod
profanity,p17,1,0,0,True,madarchod
profanity,pn11,0,0,0,True,
profanity,pn12,0,0,0,True,
