suite,id,tp,fp,fn,pass,detail
pii,v50_first_name,1,0,0,True,NAME:token_bounded_name_context
pii,v50_surname,1,0,0,True,NAME:token_bounded_name_context
pii,v50_phone_list_not_correction,2,0,0,True,PHONE:ownership_raw_phone_fallback;PHONE:phone_context
pii,v50_primary_alternate_not_correction,2,0,0,True,PHONE:phone_context;PHONE:ownership_raw_phone_fallback
pii,v50_text_comma_conservative,2,0,0,True,ACCOUNT_NUMBER:account_context;ACCOUNT_NUMBER:account_context
pii,v50_explicit_repair_filler,1,0,0,True,PHONE:phone_context+self_correction_commit
pii,v50_public_numbers_not_owned,0,0,0,True,
pii,v50_support_numbers_not_correction,0,0,0,True,
profanity,p1,1,0,0,True,fuck
profanity,p2,1,0,0,True,fuck
profanity,p3,1,0,0,True,shit
profanity,p4,1,0,0,True,shit
profanity,p5,1,0,0,True,bitch
profanity,p6,1,0,0,True,bitch
profanity,p7,1,0,0,True,asshole
profanity,p8,1,0,0,True,bastard
profanity,p9,1,0,0,True,madarchod
profanity,p10,1,0,0,True,bhenchod
profanity,p11,1,0,0,True,chutiya
profanity,p12,1,0,0,True,harami
profanity,p13,1,0,0,True,fuck
profanity,p14,1,0,0,True,shit
profanity,pn1,0,0,0,True,
profanity,pn2,0,0,0,True,
profanity,pn3,0,0,0,True,
profanity,pn4,0,0,0,True,
profanity,pn5,0,0,0,True,
profanity,pn6,0,0,0,True,
profanity,pn7,0,0,0,True,
profanity,pn8,0,0,0,True,
profanity,pn9,0,0,0,True,
profanity,pn10,0,0,0,True,
profanity,p15,1,0,0,True,gandu
profanity,p16,1,0,0,True,bakchod
profanity,p17,1,0,0,True,madarchod
profanity,pn11,0,0,0,True,
profanity,pn12,0,0,0,True,
