suite,id,tp,fp,fn,pass,detail
pii,v411_cvv_quantity_same_sentence,1,0,0,True,CVV:cvv_context
pii,v411_cvv_quantity_negative,0,0,0,True,
pii,v411_cvv_records_negative,0,0,0,True,
pii,v411_cross_punctuation_ifsc,2,0,0,True,IFSC:ownership_cross_sentence_ifsc_fallback;ADDRESS:structured_clause_address
pii,v411_dl_hard_boundary,1,0,0,True,DRIVING_LICENSE:ownership_raw_dl_fallback
pii,v411_public_batch_negative,0,0,0,True,
pii,v411_account_transaction_boundary,1,0,0,True,ACCOUNT_NUMBER:account_context
pii,v411_phone_complaint_boundary,1,0,0,True,PHONE:ownership_raw_phone_fallback
profanity,p1,1,0,0,True,fuck
profanity,p2,1,0,0,True,fuck
profanity,p3,1,0,0,True,shit
profanity,p4,1,0,0,True,shit
profanity,p5,1,0,0,True,bitch
profanity,p6,1,0,0,True,bitch
profanity,p7,1,0,0,True,asshole
profanity,p8,1,0,0,True,bastard
profanity,p9,1,0,0,True,madarchod
profanity,p10,1,0,0,True,bhenchod
profanity,p11,1,0,0,True,chutiya
profanity,p12,1,0,0,True,harami
profanity,p13,1,0,0,True,fuck
profanity,p14,1,0,0,True,shit
profanity,pn1,0,0,0,True,
profanity,pn2,0,0,0,True,
profanity,pn3,0,0,0,True,
profanity,pn4,0,0,0,True,
profanity,pn5,0,0,0,True,
profanity,pn6,0,0,0,True,
profanity,pn7,0,0,0,True,
profanity,pn8,0,0,0,True,
profanity,pn9,0,0,0,True,
profanity,pn10,0,0,0,True,
profanity,p15,1,0,0,True,gandu
profanity,p16,1,0,0,True,bakchod
profanity,p17,1,0,0,True,madarchod
profanity,pn11,0,0,0,True,
profanity,pn12,0,0,0,True,
