suite,id,tp,fp,fn,pass,detail
pii,v47-long-multifield,7,0,0,True,NAME:token_bounded_name_context;DOB:natural_language_dob;PHONE:spoken_phone_context;EMAIL:spoken_email_multilevel;ACCOUNT_NUMBER:spoken_account_context;IFSC:spoken_ifsc_normalized;ADDRESS:structured_clause_address
pii,v47-state-aadhaar,1,0,0,True,AADHAAR:expected_type_response_aadhaar
pii,v47-state-phone,1,0,0,True,PHONE:expected_type_response_phone
pii,v47-state-otp,1,0,0,True,OTP:expected_type_response_otp
pii,v47-state-cvv,1,0,0,True,CVV:expected_type_response_cvv
pii,v47-state-no-response,0,0,0,True,
pii,v47-state-ttl,0,0,0,True,
pii,v47-owner-account-over-card,1,0,0,True,ACCOUNT_NUMBER:account_context
pii,v47-spoken-dob,1,0,0,True,DOB:spoken_dob_normalized
pii,v47-spoken-upi,1,0,0,True,UPI:spoken_upi_normalized
pii,v47-spoken-upi-doc-negative,0,0,0,True,
pii,v47-spoken-passport,1,0,0,True,PASSPORT:spoken_passport_normalized
pii,v47-spoken-dl,1,0,0,True,DRIVING_LICENSE:spoken_driving_license_normalized
pii,v47-full-name,1,0,0,True,NAME:token_bounded_name_context
pii,v47-registered-name,1,0,0,True,NAME:token_bounded_name_context
pii,v47-public-name-negative,0,0,0,True,
profanity,p1,1,0,0,True,fuck
profanity,p2,1,0,0,True,fuck
profanity,p3,1,0,0,True,shit
profanity,p4,1,0,0,True,shit
profanity,p5,1,0,0,True,bitch
profanity,p6,1,0,0,True,bitch
profanity,p7,1,0,0,True,asshole
profanity,p8,1,0,0,True,bastard
profanity,p9,1,0,0,True,madarchod
profanity,p10,1,0,0,True,bhenchod
profanity,p11,1,0,0,True,chutiya
profanity,p12,1,0,0,True,harami
profanity,p13,1,0,0,True,fuck
profanity,p14,1,0,0,True,shit
profanity,pn1,0,0,0,True,
profanity,pn2,0,0,0,True,
profanity,pn3,0,0,0,True,
profanity,pn4,0,0,0,True,
profanity,pn5,0,0,0,True,
profanity,pn6,0,0,0,True,
profanity,pn7,0,0,0,True,
profanity,pn8,0,0,0,True,
profanity,pn9,0,0,0,True,
profanity,pn10,0,0,0,True,
profanity,p15,1,0,0,True,gandu
profanity,p16,1,0,0,True,bakchod
profanity,p17,1,0,0,True,madarchod
profanity,pn11,0,0,0,True,
profanity,pn12,0,0,0,True,
